timestamp	stage	seconds	peak_rss_gb
2026-09-25 14:43:13	prepare	150.6	2.38
2026-09-25 14:44:50	dev_subset	1.3	1.11
2026-09-25 14:45:03	eda_counts_labels	12.2	1.26
2026-09-25 14:45:34	eda_noise	31.8	2.59
2026-09-25 14:48:39	prepare	151.0	2.45
2026-09-25 14:48:41	dev_subset	1.3	1.13
2026-09-25 14:48:55	eda_counts_labels	12.9	1.25
2026-09-25 14:49:26	eda_noise	31.4	2.47
2026-09-25 14:50:14	eda_name_frequency	48.4	2.47
2026-09-25 14:50:44	eda_examples_hard_negatives	30.0	3.03
2026-09-25 14:52:28	eda_examples_hard_negatives	55.2	3.62
2026-09-25 19:48:26	eda_candidate_budget	2.9	0.73
2026-09-25 21:47:39	splits	10.9	0.63
2026-09-25 21:50:52	baselines	134.1	3.08
2026-09-25 22:05:59	baselines	328.9	2.97
2026-09-25 22:18:35	normalize_translit_cache	138.9	1.64
2026-09-25 22:27:40	normalize_regions	544.9	2.54
2026-09-25 22:27:57	normalize_lexicon	17.1	2.54
2026-09-25 22:37:03	normalize_all_files	545.3	2.54
2026-09-25 22:41:22	normalize_1_translit_cache	0.0	0.11
2026-09-25 22:41:23	normalize_2_lexicon	0.0	0.73
2026-09-25 22:41:23	normalize_3_all_files	0.0	0.73
2026-09-25 22:43:30	normalize_4_regions	127.4	3.16
2026-09-25 22:45:48	normalize_5_city_region	137.8	3.16
2026-09-25 22:46:47	norm_report	50.1	3.57
2026-09-25 22:50:41	norm_report	186.6	4.01
2026-09-25 22:53:56	normalize_1_translit_cache	65.3	1.49
2026-09-25 22:54:06	normalize_2_lexicon	9.3	2.02
2026-09-25 22:57:30	normalize_3_all_files	204.6	2.02
2026-09-25 22:58:49	normalize_4_regions	78.7	3.58
2026-09-25 23:00:25	normalize_5_city_region	95.8	3.58
2026-09-25 23:27:12	norm_report	106.7	3.87
2026-09-25 23:29:01	baselines	72.2	3.14
