timestamp	stage	seconds	peak_rss_gb
2026-09-25 14:43:13	prepare	150.6	2.38
2026-09-25 14:44:50	dev_subset	1.3	1.11
2026-09-25 14:45:03	eda_counts_labels	12.2	1.26
2026-09-25 14:45:34	eda_noise	31.8	2.59
2026-09-25 14:48:39	prepare	151.0	2.45
2026-09-25 14:48:41	dev_subset	1.3	1.13
2026-09-25 14:48:55	eda_counts_labels	12.9	1.25
2026-09-25 14:49:26	eda_noise	31.4	2.47
2026-09-25 14:50:14	eda_name_frequency	48.4	2.47
2026-09-25 14:50:44	eda_examples_hard_negatives	30.0	3.03
2026-09-25 14:52:28	eda_examples_hard_negatives	55.2	3.62
2026-09-25 19:48:26	eda_candidate_budget	2.9	0.73
2026-09-25 21:47:39	splits	10.9	0.63
2026-09-25 21:50:52	baselines	134.1	3.08
2026-09-25 22:05:59	baselines	328.9	2.97
2026-09-25 22:18:35	normalize_translit_cache	138.9	1.64
2026-09-25 22:27:40	normalize_regions	544.9	2.54
2026-09-25 22:27:57	normalize_lexicon	17.1	2.54
2026-09-25 22:37:03	normalize_all_files	545.3	2.54
2026-09-25 22:41:22	normalize_1_translit_cache	0.0	0.11
2026-09-25 22:41:23	normalize_2_lexicon	0.0	0.73
2026-09-25 22:41:23	normalize_3_all_files	0.0	0.73
2026-09-25 22:43:30	normalize_4_regions	127.4	3.16
2026-09-25 22:45:48	normalize_5_city_region	137.8	3.16
2026-09-25 22:46:47	norm_report	50.1	3.57
2026-09-25 22:50:41	norm_report	186.6	4.01
2026-09-25 22:53:56	normalize_1_translit_cache	65.3	1.49
2026-09-25 22:54:06	normalize_2_lexicon	9.3	2.02
2026-09-25 22:57:30	normalize_3_all_files	204.6	2.02
2026-09-25 22:58:49	normalize_4_regions	78.7	3.58
2026-09-25 23:00:25	normalize_5_city_region	95.8	3.58
2026-09-25 23:27:12	norm_report	106.7	3.87
2026-09-25 23:29:01	baselines	72.2	3.14
2026-09-25 23:49:23	normalize_final_lexicon_regionmap	55.3	3.39
2026-09-25 23:52:25	normalize_final_test_files	182.1	3.39
2026-09-25 23:52:26	normalize_final_indic_coverage	1.3	3.39
2026-09-25 23:55:03	normalize_1_translit_cache	0.0	0.11
2026-09-25 23:55:41	normalize_2_lexicon	38.3	2.55
2026-09-25 23:59:56	normalize_3_all_files	254.9	2.55
2026-09-26 00:01:13	normalize_4_regions	77.3	3.52
2026-09-26 00:18:48	normalize_5_city_region	1054.3	3.52
2026-09-26 00:21:53	normalize_1_translit_cache	0.0	0.11
2026-09-26 00:21:53	normalize_2_lexicon	0.0	0.75
2026-09-26 00:25:57	normalize_3_all_files	244.4	0.75
2026-09-26 00:27:14	normalize_4_regions	76.9	3.42
2026-09-26 00:28:49	normalize_5_city_region	95.2	3.42
2026-09-26 00:29:42	normalize_final_lexicon_regionmap	51.7	3.34
2026-09-26 00:32:32	normalize_final_test_files	170.6	3.34
2026-09-26 00:32:34	normalize_final_indic_coverage	1.3	3.34
2026-09-26 00:34:37	normalize_1_translit_cache	0.0	0.11
2026-09-26 00:34:37	normalize_2_lexicon	0.0	0.75
2026-09-26 00:38:52	normalize_3_all_files	254.8	0.76
2026-09-26 00:40:10	normalize_4_regions	77.4	3.40
2026-09-26 00:41:43	normalize_5_city_region	93.1	3.40
2026-09-26 00:41:51	normalize_6_region_compat	8.7	3.40
2026-09-26 00:42:44	normalize_final_lexicon_regionmap	52.6	3.38
2026-09-26 00:45:40	normalize_final_test_files	175.9	3.38
2026-09-26 00:45:49	normalize_final_region_compat	8.9	3.38
2026-09-26 00:45:51	normalize_final_indic_coverage	1.3	3.38
2026-09-26 00:47:56	norm_report	102.1	3.96
2026-09-26 14:32:22	blocking_dev	961.5	5.47
2026-09-26 14:49:07	blocking_dev	957.1	5.70
2026-09-26 14:58:56	blocking_dev	482.4	5.62
2026-09-26 15:05:07	blocking_dev	235.2	5.31
2026-09-26 15:09:33	blocking_dev	228.0	5.36
2026-09-26 15:14:48	blocking_dev	238.7	4.55
